trial_num,expression,expr_onset,expr_dura,expr_offset,choice,choi_onset,choi_dura,choi_offset,blank,blank_onset,blank_offset,blank_dura,correct_ans,i_trial_onset,trial_onset,choice_onset,blank_r_onset,RT,correct,KeyPress
1,4  +  2,0,1.45,1.45,8        6,1.45,1.45,2.9, ,2.9,3,0.1,2,15.0,15.00539010000648,16.4548251000233,17.90429600002244,0.5369612999784295,True,2
2,2  +  5,3,1.45,4.45,5        7,4.45,1.45,5.9, ,5.9,6,0.1,2,18.0,18.003887500002747,19.453874800004996,20.90255340002477,0.3978203000151552,True,2
3,1  +  7,6,1.45,7.45,8        6,7.45,1.45,8.9, ,8.9,9,0.1,1,21.0,21.00259480002569,22.451596800005063,23.901505800022278,0.3221969000005629,True,1
4,6  +  4,9,1.45,10.45,8        10,10.45,1.45,11.9, ,11.9,12,0.1,2,24.0,24.001296500005992,25.45055060001323,26.899822900013532,0.3827095000015106,True,2
5,1  +  2,12,1.45,13.45,1        3,13.45,1.45,14.9, ,14.9,15,0.1,2,27.0,26.999536200019065,28.449056100012967,29.898425800027326,0.4039510999864433,True,2
6,17  +  7,15,1.45,16.45,24        22,16.45,1.45,17.9, ,17.9,18,0.1,1,30.0,29.99831140000606,31.447505200019805,32.896893900004216,0.6971660999988671,True,1
7,18  +  6,18,1.45,19.45,26        24,19.45,1.45,20.9, ,20.9,21,0.1,2,33.0,32.99678220000351,34.446085900010075,35.89538760000141,0.4703138000040781,True,2
8,19  +  6,21,1.45,22.45,27        25,22.45,1.45,23.9, ,23.9,24,0.1,2,36.0,35.99510060000466,37.44433190001291,38.893825100007234,0.4984818999946583,True,2
9,16  +  9,24,1.45,25.45,25        23,25.45,1.45,26.9, ,26.9,27,0.1,1,39.0,39.010148500005016,40.45978600002127,41.90904600001522,0.6790534000028856,True,1
10,17  +  9,27,1.45,28.45,26        28,28.45,1.45,29.9, ,29.9,30,0.1,1,42.0,42.009018000011565,43.45827060000738,44.907553100027144,0.4973318999982439,True,1
11,16  +  7,30,1.45,31.45,21        23,31.45,1.45,32.9, ,32.9,33,0.1,2,45.0,45.007434800005285,46.45671100000618,47.906043599999975,0.3824027999944519,True,2
12,15  +  7,33,1.45,34.45,22        20,34.45,1.45,35.9, ,35.9,36,0.1,1,48.0,48.00593470002059,49.45538840000518,50.90444190002745,0.43229739999515004,True,1
13,19  +  5,36,1.45,37.45,22        24,37.45,1.45,38.9, ,38.9,39,0.1,2,51.0,51.00452960000257,52.45393200000399,53.90303000001586,0.9158511999994516,True,2
14,16  +  8,39,1.45,40.45,22        24,40.45,1.45,41.9, ,41.9,42,0.1,2,54.0,54.002992699999595,55.452450600016164,56.90145800000755,0.650486099999398,True,2
15,17  +  4,42,1.45,43.45,23        21,43.45,1.45,44.9, ,44.9,45,0.1,2,57.0,57.00143480001134,58.45100890001049,59.900273000006564,0.6299466000054963,True,2
16,3  +  1,45,1.45,46.45,4        6,46.45,1.45,47.9, ,47.9,48,0.1,1,60.0,60.00019510000129,61.4494159000169,62.898866300005466,0.46430590000818484,False,2
17,6  +  2,48,1.45,49.45,8        10,49.45,1.45,50.9, ,50.9,51,0.1,1,63.0,62.99882520001847,64.44816060000448,65.89720340000349,0.35327740001957864,True,1
18,4  +  2,51,1.45,52.45,6        4,52.45,1.45,53.9, ,53.9,54,0.1,1,66.0,65.99717590000364,67.44668160000583,68.8957809000276,0.38084779999917373,False,2
19,3  +  7,54,1.45,55.45,10        12,55.45,1.45,56.9, ,56.9,57,0.1,1,69.0,68.99566130002495,70.44499080002424,71.89442890000646,0.430966099986108,True,1
20,1  +  8,57,1.45,58.45,11        9,58.45,1.45,59.9, ,59.9,60,0.1,2,72.0,71.99434310002835,73.44332610000856,74.89300350000849,0.42844720001448877,True,2
21,5  +  3,75,1.45,76.45,6        8,76.45,1.45,77.9, ,77.9,78,0.1,2,90.0,90.00207280000905,91.45137630001409,92.90064890001668,0.3996000000042841,True,2
22,1  +  6,78,1.45,79.45,7        9,79.45,1.45,80.9, ,80.9,81,0.1,1,93.0,93.00062040000921,94.449975800002,95.89903510001022,0.42326690000481904,True,1
23,2  +  2,81,1.45,82.45,2        4,82.45,1.45,83.9, ,83.9,84,0.1,2,96.0,95.99877500001458,97.44825310001033,98.8978132000193,0.3922642999968957,True,2
24,4  +  3,84,1.45,85.45,5        7,85.45,1.45,86.9, ,86.9,87,0.1,2,99.0,98.99786200001836,100.44690560002346,101.89621250002529,0.41796530000283383,True,2
25,2  +  8,87,1.45,88.45,12        10,88.45,1.45,89.9, ,89.9,90,0.1,2,102.0,101.99621930002468,103.44508730000234,104.89478010000312,0.6812318000011146,True,2
26,16  +  5,90,1.45,91.45,21        19,91.45,1.45,92.9, ,92.9,93,0.1,1,105.0,104.9948102000053,106.44393810001202,107.89355660000001,0.42653699999209493,True,1
27,18  +  7,93,1.45,94.45,27        25,94.45,1.45,95.9, ,95.9,96,0.1,2,108.0,108.00982380000642,109.45913540001493,110.9084264000121,0.37678190000588074,True,2
28,19  +  2,96,1.45,97.45,21        23,97.45,1.45,98.9, ,98.9,99,0.1,1,111.0,111.00845190000837,112.45764610002516,113.9068112000241,0.6078909999923781,False,2
29,19  +  6,99,1.45,100.45,25        23,100.45,1.45,101.9, ,101.9,102,0.1,1,114.0,114.00678350002272,115.45615720000933,116.90534940001089,0.3777140000020154,True,1
30,19  +  7,102,1.45,103.45,24        26,103.45,1.45,104.9, ,104.9,105,0.1,2,117.0,117.00539280002704,118.45467390000704,119.90389040001901,0.40339389999280684,True,2
31,1  +  1,105,1.45,106.45,2        0,106.45,1.45,107.9, ,107.9,108,0.1,1,120.0,120.00384490002762,121.45330570000806,122.90255290002096,0.41192410001531243,True,1
32,5  +  4,108,1.45,109.45,7        9,109.45,1.45,110.9, ,110.9,111,0.1,2,123.0,123.00234750000527,124.45172960002674,125.90100860001985,0.6030542999797035,True,2
33,5  +  5,111,1.45,112.45,10        8,112.45,1.45,113.9, ,113.9,114,0.1,1,126.0,126.00061250000726,127.4503142000176,128.89960450000945,0.40846479998435825,True,1
34,3  +  3,114,1.45,115.45,6        8,115.45,1.45,116.9, ,116.9,117,0.1,1,129.0,128.99954740001704,130.44886450000922,131.8980411000084,0.4034873000055086,True,1
35,5  +  3,117,1.45,118.45,8        10,118.45,1.45,119.9, ,119.9,120,0.1,1,132.0,131.99807880001026,133.44721890002256,134.89630720001878,0.8731825999857392,False,2
36,15  +  8,120,1.45,121.45,21        23,121.45,1.45,122.9, ,122.9,123,0.1,2,135.0,134.99652370001422,136.4458525000082,137.89523670001654,0.44736240000929683,True,2
37,17  +  6,123,1.45,124.45,23        25,124.45,1.45,125.9, ,125.9,126,0.1,1,138.0,137.99525100001483,139.4444820000208,140.89374480000697,0.37164759999723174,True,1
38,19  +  8,126,1.45,127.45,25        27,127.45,1.45,128.9, ,128.9,129,0.1,2,141.0,141.01022030002787,142.45960730002844,143.90869270000258,0.4247169999871403,True,2
39,13  +  8,129,1.45,130.45,21        23,130.45,1.45,131.9, ,131.9,132,0.1,1,144.0,144.008492700028,145.45812390002538,146.90700000000652,0.5952873999776784,False,2
40,18  +  8,132,1.45,133.45,26        24,133.45,1.45,134.9, ,134.9,135,0.1,1,147.0,147.00694470002782,148.45701660000486,149.9056803000276,0.4639681999979075,True,1
41,19  +  9,150,1.45,151.45,30        28,151.45,1.45,152.9, ,152.9,153,0.1,2,165.0,165.0152103000146,166.4644528000208,167.91379930000403,0.612079199985601,True,2
42,17  +  8,153,1.45,154.45,27        25,154.45,1.45,155.9, ,155.9,156,0.1,2,168.0,167.99665870002354,169.44649130001199,170.89537880002172,0.45794769999338314,True,2
43,17  +  5,156,1.45,157.45,22        20,157.45,1.45,158.9, ,158.9,159,0.1,1,171.0,170.9955525000114,172.44475320001948,173.8940296000219,0.4654735999938566,True,1
44,18  +  5,159,1.45,160.45,21        23,160.45,1.45,161.9, ,161.9,162,0.1,2,174.0,174.01035650001722,175.45994410000276,176.90937010000926,0.7303712000139058,True,2
45,15  +  9,162,1.45,163.45,24        26,163.45,1.45,164.9, ,164.9,165,0.1,1,177.0,177.0089783000003,178.4586907000048,179.90750980001758,0.520659900008468,True,1
46,6  +  3,165,1.45,166.45,11        9,166.45,1.45,167.9, ,167.9,168,0.1,2,180.0,180.00776320000296,181.4570403000107,182.90625680002267,0.5100863999978174,True,2
47,4  +  6,168,1.45,169.45,10        8,169.45,1.45,170.9, ,170.9,171,0.1,1,183.0,183.00629470002605,184.45557250001002,185.90497640002286,0.35071830000379123,True,1
48,4  +  3,171,1.45,172.45,9        7,172.45,1.45,173.9, ,173.9,174,0.1,2,186.0,186.00494540002546,187.4540657000034,188.90336480000406,0.3363932000065688,True,2
49,6  +  1,174,1.45,175.45,5        7,175.45,1.45,176.9, ,176.9,177,0.1,2,189.0,189.00331940001342,190.45271060001687,191.90190060000168,0.38275509999948554,True,2
50,4  +  4,177,1.45,178.45,10        8,178.45,1.45,179.9, ,179.9,180,0.1,2,192.0,192.0018507000059,193.45118810000713,194.9001909000217,0.47893690000637434,True,2
51,18  +  6,180,1.45,181.45,24        22,181.45,1.45,182.9, ,182.9,183,0.1,1,195.0,195.00041020000936,196.44975240001804,197.89879260002635,0.6080154000082985,True,1
52,12  +  9,183,1.45,184.45,21        23,184.45,1.45,185.9, ,185.9,186,0.1,1,198.0,197.9986963000265,199.44806670001708,200.89745320001384,0.4474136999924667,True,1
53,14  +  8,186,1.45,187.45,24        22,187.45,1.45,188.9, ,188.9,189,0.1,2,201.0,200.99731760000577,202.44645149999997,203.89603800000623,0.5237863000074867,True,2
54,15  +  6,189,1.45,190.45,21        23,190.45,1.45,191.9, ,191.9,192,0.1,1,204.0,203.9960097000003,205.44504710001638,206.89438880002126,0.6161794000072405,True,1
55,18  +  9,192,1.45,193.45,27        25,193.45,1.45,194.9, ,194.9,195,0.1,1,207.0,206.99454290000722,208.4438991000061,209.89315670001088,0.625808800017694,True,1
56,1  +  8,195,1.45,196.45,11        9,196.45,1.45,197.9, ,197.9,198,0.1,2,210.0,210.00967370002763,211.45906400002423,212.90839130000677,0.36371730000246316,True,2
57,3  +  2,198,1.45,199.45,7        5,199.45,1.45,200.9, ,200.9,201,0.1,2,213.0,213.0077957000176,214.45758100002422,215.9069589000137,0.3629497999791056,True,2
58,7  +  2,201,1.45,202.45,9        7,202.45,1.45,203.9, ,203.9,204,0.1,1,216.0,216.00674340000842,217.45600610002293,218.90527700001257,0.6271334000048228,False,2
59,4  +  1,204,1.45,205.45,5        3,205.45,1.45,206.9, ,206.9,207,0.1,1,219.0,219.00510450001457,220.45447130000684,221.90384940002696,0.3668721000140067,True,1
60,1  +  3,207,1.45,208.45,2        4,208.45,1.45,209.9, ,209.9,210,0.1,2,222.0,222.00376280001365,223.45248990002437,224.90243310001097,0.3925085999944713,True,2
61,19  +  3,225,1.45,226.45,22        24,226.45,1.45,227.9, ,227.9,228,0.1,1,240.0,240.0115410000144,241.4603745000204,242.9102548000228,0.9716711000073701,True,1
62,14  +  9,228,1.45,229.45,23        25,229.45,1.45,230.9, ,230.9,231,0.1,1,243.0,243.00971420001588,244.45939580001868,245.90876160000334,0.867937900009565,False,2
63,19  +  4,231,1.45,232.45,23        25,232.45,1.45,233.9, ,233.9,234,0.1,1,246.0,246.00877430001856,247.45796430000337,248.90718160002143,0.4256475000001956,True,1
64,17  +  9,234,1.45,235.45,24        26,235.45,1.45,236.9, ,236.9,237,0.1,2,249.0,249.00704220001353,250.45642190001672,251.90573880000738,0.8296283000090625,True,2
65,16  +  6,237,1.45,238.45,20        22,238.45,1.45,239.9, ,239.9,240,0.1,2,252.0,252.0057686000073,253.45474550002837,254.90408480001497,0.7170212999917567,True,2
66,3  +  6,240,1.45,241.45,11        9,241.45,1.45,242.9, ,242.9,243,0.1,2,255.0,255.00389450002695,256.4537051000225,257.90278760000365,0.420376900001429,True,2
67,5  +  2,243,1.45,244.45,7        9,244.45,1.45,245.9, ,245.9,246,0.1,1,258.0,258.0023223000171,259.4521012000041,260.90132140001515,0.29646740001044236,True,1
68,4  +  5,246,1.45,247.45,9        7,247.45,1.45,248.9, ,248.9,249,0.1,1,261.0,261.0009953000117,262.4504886000068,263.89984100000584,0.37921680000727065,True,1
69,7  +  3,249,1.45,250.45,12        10,250.45,1.45,251.9, ,251.9,252,0.1,2,264.0,263.9995247000188,265.4490907000145,266.89823760002037,0.7524342999968212,False,1
70,1  +  9,252,1.45,253.45,8        10,253.45,1.45,254.9, ,254.9,255,0.1,2,267.0,266.9980410000135,268.44750770000974,269.8969131000049,0.6413531000143848,True,2
71,7  +  1,255,1.45,256.45,8        6,256.45,1.45,257.9, ,257.9,258,0.1,1,270.0,269.99646390002454,271.44624820002355,272.89540230002603,0.45755569997709244,True,1
72,3  +  2,258,1.45,259.45,5        7,259.45,1.45,260.9, ,260.9,261,0.1,1,273.0,272.995424200024,274.44406530002016,275.8940935000137,0.4345426000072621,True,1
73,1  +  5,261,1.45,262.45,6        4,262.45,1.45,263.9, ,263.9,264,0.1,1,276.0,276.01062030001776,277.45984190001036,278.9092676000146,0.495947299990803,True,1
74,1  +  4,264,1.45,265.45,5        7,265.45,1.45,266.9, ,266.9,267,0.1,1,279.0,279.0091025000147,280.45824690000154,281.9074591000099,0.4952161000110209,True,1
75,1  +  5,267,1.45,268.45,6        8,268.45,1.45,269.9, ,269.9,270,0.1,1,282.0,282.0074392000097,283.45691780000925,284.90597100000014,0.5496063000173308,True,1
76,14  +  7,270,1.45,271.45,23        21,271.45,1.45,272.9, ,272.9,273,0.1,2,285.0,285.00580570002785,286.4553055000142,287.90462300000945,0.5181272999907378,True,2
77,18  +  3,273,1.45,274.45,23        21,274.45,1.45,275.9, ,275.9,276,0.1,2,288.0,288.00464300002204,289.4539777000027,290.90311330000986,0.41848240001127124,True,2
78,17  +  7,276,1.45,277.45,22        24,277.45,1.45,278.9, ,278.9,279,0.1,2,291.0,291.00291620002827,292.45248550002,293.9016056000255,0.4254126999876462,True,2
79,13  +  9,279,1.45,280.45,24        22,280.45,1.45,281.9, ,281.9,282,0.1,2,294.0,294.0016755000106,295.45099010001286,296.9001625000092,0.8081969000049867,False,1
80,18  +  4,282,1.45,283.45,22        20,283.45,1.45,284.9, ,284.9,285,0.1,1,297.0,297.00026740002795,298.4495212000038,299.89907900002436,0.5658155000128318,True,1
